org_name,org_city,org_state,org_ipf_code
NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,,,
JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,4134401
WASHINGTON UNIVERSITY,SAINT LOUIS,MO,9083901
UNIVERSITY OF WASHINGTON,SEATTLE,WA,9087701
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,577508
EMORY UNIVERSITY,ATLANTA,GA,2384501
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PITTSBURGH,PA,2059802
DUKE UNIVERSITY,DURHAM,NC,2221101
UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,6463801
UNIV OF NORTH CAROLINA CHAPEL HILL,CHAPEL HILL,NC,578206
YALE UNIVERSITY,NEW HAVEN,CT,9420201
MASSACHUSETTS GENERAL HOSPITAL,BOSTON,MA,4907701
UNIVERSITY OF COLORADO DENVER,Aurora,CO,1199905
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",LA JOLLA,CA,577507
STANFORD UNIVERSITY,STANFORD,CA,8046501
UNIVERSITY OF MINNESOTA,MINNEAPOLIS,MN,1450402
COLUMBIA UNIVERSITY HEALTH SCIENCES,NEW YORK,NY,1833205
UNIVERSITY OF MICHIGAN AT ANN ARBOR,ANN ARBOR,MI,1506502
UNIVERSITY OF MARYLAND BALTIMORE,BALTIMORE,MD,820104
UNIVERSITY OF WISCONSIN-MADISON,MADISON,WI,578503
UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,1288803
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NEW YORK,NY,3839801
UNIVERSITY OF CALIFORNIA LOS ANGELES,LOS ANGELES,CA,577505
BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,MA,1080401
NORTHWESTERN UNIVERSITY AT CHICAGO,CHICAGO,IL,6144650
BOSTON CHILDREN'S HOSPITAL,BOSTON,MA,1504801
WEILL MEDICAL COLL OF CORNELL UNIV,NEW YORK,NY,1514803
UNIV OF MASSACHUSETTS MED SCH WORCESTER,WORCESTER,MA,850903
UNIVERSITY OF VIRGINIA,CHARLOTTESVILLE,VA,1526402
VANDERBILT UNIVERSITY MEDICAL CENTER,NASHVILLE,TN,10040927
OHIO STATE UNIVERSITY,Columbus,OH,6218701
UNIVERSITY OF GEORGIA,ATHENS,GA,676602
UNIVERSITY OF TEXAS MED BR GALVESTON,GALVESTON,TX,578406
UNIVERSITY OF CHICAGO,CHICAGO,IL,1413601
UNIVERSITY OF IOWA,IOWA CITY,IA,3972901
UNIVERSITY OF FLORIDA,GAINESVILLE,FL,513806
UNIVERSITY OF CALIFORNIA AT DAVIS,DAVIS,CA,577503
