org_name,org_city,org_state
UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL
ARKANSAS CHILDREN'S HOSPITAL,LITTLE ROCK,AR
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,LITTLE ROCK,AR
ARIZONA STATE UNIVERSITY-TEMPE,SCOTTSDALE,AZ
MAYO CLINIC ARIZONA,SCOTTSDALE,AZ
UNIVERSITY OF ARIZONA,TUCSON,AZ
UNIVERSITY OF CALIFORNIA BERKELEY,BERKELEY,CA
UNIVERSITY OF CALIFORNIA DAVIS,DAVIS,CA
BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,DUARTE,CA
UNIVERSITY OF CALIFORNIA IRVINE,IRVINE,CA
LA JOLLA INSTITUTE FOR IMMUNOLOGY,LA JOLLA,CA
SALK INSTITUTE FOR BIOLOGICAL STUDIES,La Jolla,CA
SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,LA JOLLA,CA
SCRIPPS RESEARCH INSTITUTE,LA JOLLA,CA
UNIVERSITY OF CALIFORNIA SAN DIEGO,LA JOLLA,CA
CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA
UNIVERSITY OF CALIFORNIA LOS ANGELES,LOS ANGELES,CA
UNIVERSITY OF SOUTHERN CALIFORNIA,Los Angeles,CA
SRI INTERNATIONAL,MENLO PARK,CA
UNIVERSITY OF CALIFORNIA MERCED,MERCED,CA
KAISER FOUNDATION RESEARCH INSTITUTE,Oakland,CA
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA
UNIVERSITY OF CALIFORNIA RIVERSIDE,RIVERSIDE,CA
J. DAVID GLADSTONE INSTITUTES,SAN FRANCISCO,CA
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SAN FRANCISCO,CA
UNIVERSITY OF CALIFORNIA SANTA CRUZ,SANTA CRUZ,CA
STANFORD UNIVERSITY,STANFORD,CA
LUNDQUIST INSTITUTE FOR BIOMEDICAL INNOVATION AT HARBOR-UCLA MEDICAL CENTER,TORRANCE,CA
UNIVERSITY OF COLORADO DENVER,Aurora,CO
UNIVERSITY OF COLORADO,Boulder,CO
NATIONAL JEWISH HEALTH,DENVER,CO
COLORADO STATE UNIVERSITY,FORT COLLINS,CO
UNIVERSITY OF CONNECTICUT SCHOOL OF MEDICINE,FARMINGTON,CT
YALE UNIVERSITY,NEW HAVEN,CT
GEORGE WASHINGTON UNIVERSITY,WASHINGTON,DC
GEORGETOWN UNIVERSITY,WASHINGTON,DC
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,CORAL GABLES,FL
UNIVERSITY OF FLORIDA,GAINESVILLE,FL
SCRIPPS FLORIDA,JUPITER,FL
FLORIDA INTERNATIONAL UNIVERSITY,MIAMI,FL
UNIVERSITY OF CENTRAL FLORIDA,ORLANDO,FL
FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL
UNIVERSITY OF SOUTH FLORIDA,TAMPA,FL
UNIVERSITY OF GEORGIA,ATHENS,GA
EMORY UNIVERSITY,ATLANTA,GA
GEORGIA INSTITUTE OF TECHNOLOGY,ATLANTA,GA
GEORGIA STATE UNIVERSITY,ATLANTA,GA
IOWA STATE UNIVERSITY,AMES,IA
UNIVERSITY OF IOWA,IOWA CITY,IA
UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,CHAMPAIGN,IL
LURIE CHILDREN'S HOSPITAL OF CHICAGO,CHICAGO,IL
NORTHWESTERN UNIVERSITY,CHICAGO,IL
RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL
UNIVERSITY OF CHICAGO,CHICAGO,IL
UNIVERSITY OF ILLINOIS AT CHICAGO,Chicago,IL
LOYOLA UNIVERSITY CHICAGO,MAYWOOD,IL
INDIANA UNIVERSITY BLOOMINGTON,BLOOMINGTON,IN
INDIANA UNIVERSITY INDIANAPOLIS,INDIANAPOLIS,IN
UNIVERSITY OF NOTRE DAME,NOTRE DAME,IN
PURDUE UNIVERSITY,WEST LAFAYETTE,IN
UNIVERSITY OF KANSAS MEDICAL CENTER,KANSAS CITY,KS
UNIVERSITY OF KANSAS LAWRENCE,LAWRENCE,KS
KANSAS STATE UNIVERSITY,MANHATTAN,KS
UNIVERSITY OF KENTUCKY,LEXINGTON,KY
UNIVERSITY OF LOUISVILLE,LOUISVILLE,KY
LOUISIANA STATE UNIVERSITY A&M COLLEGE BATON ROUGE,BATON ROUGE,LA
TULANE UNIVERSITY,NEW ORLEANS,LA
BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,MA
BOSTON CHILDREN'S HOSPITAL,BOSTON,MA
BOSTON MEDICAL CENTER,BOSTON,MA
BOSTON UNIVERSITY MEDICAL CAMPUS,BOSTON,MA
BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,MA
DANA-FARBER CANCER INSTITUTE,BOSTON,MA
HARVARD MEDICAL SCHOOL,BOSTON,MA
HARVARD SCHOOL OF PUBLIC HEALTH,BOSTON,MA
MASSACHUSETTS GENERAL HOSPITAL,BOSTON,MA
NORTHEASTERN UNIVERSITY,BOSTON,MA
TUFTS UNIVERSITY BOSTON,BOSTON,MA
BROAD INSTITUTE,CAMBRIDGE,MA
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CAMBRIDGE,MA
BOSTON COLLEGE,CHESTNUT HILL,MA
"KEPHERA DIAGNOSTICS, LLC",Framingham,MA
UNIVERSITY OF MASSACHUSETTS AMHERST,HADLEY,MA
"MICROBIOTIX, INC",WORCESTER,MA
UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL WORCESTER,WORCESTER,MA
JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD
UNIVERSITY OF MARYLAND BALTIMORE,BALTIMORE,MD
HENRY M. JACKSON FOUNDATION,BETHESDA,MD
UNIVERSITY OF MARYLAND COLLEGE PARK,COLLEGE PARK,MD
"SANARIA, INC.",ROCKVILLE,MD
JACKSON LABORATORY,BAR HARBOR,ME
UNIVERSITY OF MICHIGAN AT ANN ARBOR,ANN ARBOR,MI
WAYNE STATE UNIVERSITY,DETROIT,MI
MICHIGAN STATE UNIVERSITY,EAST LANSING,MI
UNIVERSITY OF MINNESOTA,MINNEAPOLIS,MN
MAYO CLINIC ROCHESTER,ROCHESTER,MN
UNIVERSITY OF MISSOURI-COLUMBIA,COLUMBIA,MO
SAINT LOUIS UNIVERSITY,SAINT LOUIS,MO
WASHINGTON UNIVERSITY,SAINT LOUIS,MO
