canonical_id,nih_reporter_name,nih_reporter_ipf_code,org_city,org_state,org_country,canonical_name,ror_link,ror_id,grid_id,email_domains,openalex_link,openalex_id
us-al-university-of-alabama-birmingham,UNIVERSITY OF ALABAMA AT BIRMINGHAM,1288803,BIRMINGHAM,AL,US,University of Alabama Birmingham,https://ror.org/008s83205,008s83205,grid.265892.2,uab.edu|uabmc.edu,https://openalex.org/i32389192,I32389192
us-ar-arkansas-children-s-hospital-research-institute,ARKANSAS CHILDREN'S HOSPITAL RES INST,491702,LITTLE ROCK,AR,US,Arkansas Children's Hospital Research Institute,https://ror.org/01t33qq42,01t33qq42,grid.239305.e,uams.edu,https://openalex.org/i1301864278,I1301864278
us-ar-university-of-arkansas-for-medical-sciences,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,1471106,LITTLE ROCK,AR,US,University of Arkansas for Medical Sciences,https://ror.org/005k4dn45,005k4dn45,grid.416947.9,uams.edu,https://openalex.org/i79620101,I79620101
us-az-arizona-state-university-tempe,ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,488301,SCOTTSDALE,AZ,US,Arizona State University-Tempe,https://ror.org/03efmqc40,03efmqc40,grid.215654.1,asu.edu,https://openalex.org/i55732556,I55732556
us-az-mayo-clinic-arizona,MAYO CLINIC ARIZONA,4976104,SCOTTSDALE,AZ,US,Mayo Clinic Arizona,https://ror.org/03jp40720,03jp40720,grid.417468.8,mayo.edu,https://openalex.org/i4210125099,I4210125099
us-az-university-of-arizona,UNIVERSITY OF ARIZONA,490201,TUCSON,AZ,US,University of Arizona,https://ror.org/03m2x1q45,03m2x1q45,grid.134563.6,arizona.edu,https://openalex.org/i138006243,I138006243
us-ca-university-of-california-berkeley,UNIVERSITY OF CALIFORNIA BERKELEY,577502,BERKELEY,CA,US,"University of California, Berkeley",https://ror.org/01an7q238,01an7q238,grid.47840.3f,berkeley.edu,https://openalex.org/i95457486,I95457486
us-ca-university-of-california-davis,UNIVERSITY OF CALIFORNIA AT DAVIS,577503,DAVIS,CA,US,"University of California, Davis",https://ror.org/05rrcem69,05rrcem69,grid.27860.3b,ucdavis.edu,https://openalex.org/i84218800,I84218800
us-ca-beckman-research-institute,BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,3058203,DUARTE,CA,US,Beckman Research Institute,https://ror.org/05fazth07,05fazth07,,coh.org,https://openalex.org/i4387156432,I4387156432
us-ca-university-of-california-irvine,UNIVERSITY OF CALIFORNIA-IRVINE,577504,IRVINE,CA,US,"University of California, Irvine",https://ror.org/04gyf1771,04gyf1771,grid.266093.8,uci.edu,https://openalex.org/i204250578,I204250578
us-ca-la-jolla-institute-for-immunology,LA JOLLA INSTITUTE FOR IMMUNOLOGY,2465301,LA JOLLA,CA,US,La Jolla Institute for Immunology,https://ror.org/05vkpd318,05vkpd318,grid.185006.a,lji.org,https://openalex.org/i1311191458,I1311191458
us-ca-salk-institute-for-biological-studies,SALK INSTITUTE FOR BIOLOGICAL STUDIES,7210001,La Jolla,CA,US,Salk Institute for Biological Studies,https://ror.org/03xez1567,03xez1567,grid.250671.7,salk.edu,https://openalex.org/i1307098950,I1307098950
us-ca-sanford-burnham-medical-research-institute,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,1180101,LA JOLLA,CA,US,Sanford Burnham Medical Research Institute,https://ror.org/03m1g2s55,03m1g2s55,grid.479509.6,burnham.org|sanfordburnham.org|sbpdiscovery.edu,https://openalex.org/i188891513,I188891513
us-ca-scripps-research-institute,"SCRIPPS RESEARCH INSTITUTE, THE",7375802,LA JOLLA,CA,US,Scripps Research Institute,https://ror.org/02dxx6824,02dxx6824,grid.214007.0,scripps.edu,https://openalex.org/i123431417,I123431417
us-ca-university-of-california-san-diego,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",577507,LA JOLLA,CA,US,University of California San Diego,https://ror.org/0168r3w48,0168r3w48,grid.266100.3,ucsd.edu,https://openalex.org/i36258959,I36258959
