nih_reporter_name,nih_reporter_ipf_code,org_city,org_state,org_country,canonical_name,ror_link,openalex_link
UNIVERSITY OF ALABAMA AT BIRMINGHAM,1288803,BIRMINGHAM,AL,USA,UNIVERSITY OF ALABAMA BIRMINGHAM,https://ror.org/008s83205,https://openalex.org/i32389192
ARKANSAS CHILDREN'S HOSPITAL RES INST,491702,LITTLE ROCK,AR,USA,ARKANSAS CHILDREN'S HOSPITAL RESEARCH INSTITUTE,https://ror.org/01t33qq42,https://openalex.org/i1301864278
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,1471106,LITTLE ROCK,AR,USA,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,https://ror.org/005k4dn45,https://openalex.org/i79620101
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,488301,SCOTTSDALE,AZ,USA,ARIZONA STATE UNIVERSITY-TEMPE,https://ror.org/03efmqc40,https://openalex.org/i55732556
MAYO CLINIC ARIZONA,4976104,SCOTTSDALE,AZ,USA,MAYO CLINIC ARIZONA,https://ror.org/03jp40720,https://openalex.org/i4210125099
UNIVERSITY OF ARIZONA,490201,TUCSON,AZ,USA,UNIVERSITY OF ARIZONA,https://ror.org/03m2x1q45,https://openalex.org/i138006243
UNIVERSITY OF CALIFORNIA BERKELEY,577502,BERKELEY,CA,USA,"UNIVERSITY OF CALIFORNIA, BERKELEY",https://ror.org/01an7q238,https://openalex.org/i95457486
UNIVERSITY OF CALIFORNIA AT DAVIS,577503,DAVIS,CA,USA,"UNIVERSITY OF CALIFORNIA, DAVIS",https://ror.org/05rrcem69,https://openalex.org/i84218800
BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,3058203,DUARTE,CA,USA,BECKMAN RESEARCH INSTITUTE,https://ror.org/05fazth07,https://openalex.org/i4387156432
UNIVERSITY OF CALIFORNIA-IRVINE,577504,IRVINE,CA,USA,"UNIVERSITY OF CALIFORNIA, IRVINE",https://ror.org/04gyf1771,https://openalex.org/i204250578
LA JOLLA INSTITUTE FOR IMMUNOLOGY,2465301,LA JOLLA,CA,USA,LA JOLLA INSTITUTE FOR IMMUNOLOGY,https://ror.org/05vkpd318,https://openalex.org/i1311191458
SALK INSTITUTE FOR BIOLOGICAL STUDIES,7210001,La Jolla,CA,USA,SALK INSTITUTE FOR BIOLOGICAL STUDIES,https://ror.org/03xez1567,https://openalex.org/i1307098950
SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,1180101,LA JOLLA,CA,USA,SANFORD BURNHAM MEDICAL RESEARCH INSTITUTE,https://ror.org/03m1g2s55,https://openalex.org/i188891513
"SCRIPPS RESEARCH INSTITUTE, THE",7375802,LA JOLLA,CA,USA,SCRIPPS RESEARCH INSTITUTE,https://ror.org/02dxx6824,https://openalex.org/i123431417
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",577507,LA JOLLA,CA,USA,UNIVERSITY OF CALIFORNIA SAN DIEGO,https://ror.org/0168r3w48,https://openalex.org/i36258959
CEDARS-SINAI MEDICAL CENTER,1225501,LOS ANGELES,CA,USA,CEDARS-SINAI MEDICAL CENTER,https://ror.org/02pammg90,https://openalex.org/i1282927834
UNIVERSITY OF CALIFORNIA LOS ANGELES,577505,LOS ANGELES,CA,USA,UNIVERSITY OF CALIFORNIA LOS ANGELES,https://ror.org/046rm7j60,https://openalex.org/i161318765
UNIVERSITY OF SOUTHERN CALIFORNIA,7636101,Los Angeles,CA,USA,UNIVERSITY OF SOUTHERN CALIFORNIA,https://ror.org/03taz7m60,https://openalex.org/i1174212
SRI INTERNATIONAL,8042701,MENLO PARK,CA,USA,STANFORD RESEARCH INSTITUTE,https://ror.org/05s570m15,https://openalex.org/i1298353152
"UNIVERSITY OF CALIFORNIA, MERCED",10002981,MERCED,CA,USA,UNIVERSITY OF CALIFORNIA MERCED,https://ror.org/00d9ah105,https://openalex.org/i156087764
KAISER FOUNDATION RESEARCH INSTITUTE,3497005,Oakland,CA,USA,KAISER FOUNDATION RESEARCH INSTITUTE,https://ror.org/00t60zh31,https://openalex.org/i4210148877
