test_id,expected_canonical_id,expected_canonical_name,ad_frequency,ad_text,matched_allow_aliases
T0112,us-ma-harvard-university,Harvard University,23,"Division of Immunology, Boston Children's Hospital, Harvard Medical School.",BOSTON CHILDREN'S HOSPITAL (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0119,us-ma-harvard-university,Harvard University,22,"Division of Immunology, Boston Children's Hospital and Harvard Medical School, Boston, Massachusetts.",BOSTON CHILDREN'S HOSPITAL (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0139,us-ma-harvard-university,Harvard University,20,"Division of Immunology, Boston Children's Hospital and Harvard Medical School, Boston, MA, USA.",BOSTON CHILDREN'S HOSPITAL (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0182,us-ma-harvard-university,Harvard University,17,"Channing Division of Network Medicine, Department of Medicine, Brigham and Women's Hospital and Harvard Medical School, Boston, MA, USA.",BRIGHAM AND WOMEN'S HOSPITAL (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0200,us-ma-harvard-university,Harvard University,16,"Department of Anesthesia, Critical Care and Pain Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, MA, USA.",BETH ISRAEL DEACONESS MEDICAL CENTER (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0202,us-ma-harvard-university,Harvard University,16,"Division of Rheumatology, Inflammation, and Immunity, Brigham and Women's Hospital and Harvard Medical School, Boston, United States of America.",BRIGHAM AND WOMEN'S HOSPITAL (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0281,us-ma-broad-institute,Broad Institute,13,"Broad Institute of Harvard University and MIT, Cambridge, MA, USA.",Broad Institute (canonical_name)|Harvard University (canonical_name)|MIT (acronym)
T0285,us-ma-harvard-university,Harvard University,13,"Division of Neuroimmunology & Neuroinfectious Disease, Department of Neurology, Massachusetts General Hospital, Harvard Medical School, Boston, MA.",HARVARD MEDICAL SCHOOL (nih_name)|MASSACHUSETTS GENERAL HOSPITAL (nih_name)
T0289,us-ma-harvard-university,Harvard University,12,"Department of Anesthesiology, Critical Care and Pain Medicine, Boston Children's Hospital, Harvard Medical School, Boston, MA USA.",BOSTON CHILDREN'S HOSPITAL (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0292,us-ma-harvard-university,Harvard University,12,"Department of Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, MA, USA.",BETH ISRAEL DEACONESS MEDICAL CENTER (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0296,us-ma-harvard-university,Harvard University,12,"Division of Rheumatology, Department of Medicine, Division of Rheumatology, Inflammation and Immunity, Brigham and Women's Hospital, Harvard Medical School, Boston, MA, USA.",BRIGHAM AND WOMEN'S HOSPITAL (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0298,us-ma-harvard-university,Harvard University,12,"Renal Division, Brigham and Women's Hospital, Harvard Medical School (Y.C., Y.Y., S.J., G.S., S.M.K., H.B., X.L., A.J.S., M.Y., Y.I., J.Z., V.K.), Boston, MA.",BRIGHAM AND WOMEN'S HOSPITAL (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0309,us-ma-harvard-university,Harvard University,11,"Nephrology Division, Boston Children's Hospital, Harvard Medical School, Boston, MA, USA.",BOSTON CHILDREN'S HOSPITAL (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0310,us-ma-harvard-university,Harvard University,11,"Transplantation Research Center and Renal Division, Brigham and Women's Hospital, Harvard Medical School, Boston, MA, 02115, USA.",BRIGHAM AND WOMEN'S HOSPITAL (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0311,us-ma-harvard-university,Harvard University,11,"Transplantation Research Center, Renal Division, Brigham and Women's Hospital, Harvard Medical School, Boston, MA, USA.",BRIGHAM AND WOMEN'S HOSPITAL (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0314,us-ma-harvard-university,Harvard University,10,"Department of Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, Massachusetts.",BETH ISRAEL DEACONESS MEDICAL CENTER (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0320,us-ma-harvard-university,Harvard University,10,"Division of Thoracic Surgery and Interventional Pulmonology, Department of Surgery, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, MA 02215, USA.",BETH ISRAEL DEACONESS MEDICAL CENTER (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0325,us-ma-broad-institute,Broad Institute,10,"Programs in Metabolism and Medical & Population Genetics, Broad Institute of Massachusetts Institute of Technology and Harvard, Cambridge, MA.",Broad Institute (canonical_name)|MASSACHUSETTS INSTITUTE OF TECHNOLOGY (nih_name)
T0329,us-ma-harvard-university,Harvard University,10,"Vascular Biology Program, Boston Children's Hospital, and Department of Surgery, Harvard Medical School, Boston, MA, USA.",BOSTON CHILDREN'S HOSPITAL (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0338,us-ma-harvard-university,Harvard University,9,"Department of Pediatric Oncology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA.",Dana-Farber Cancer Institute (canonical_name)|HARVARD MEDICAL SCHOOL (nih_name)
T0340,us-ma-harvard-university,Harvard University,9,"Division of Plastic and Reconstructive Surgery, Beth Israel Deaconess Medical Center, Harvard Medical School, 110 Francis St, Suite 5A, Boston, MA, 02215, USA.",BETH ISRAEL DEACONESS MEDICAL CENTER (nih_name)|HARVARD MEDICAL SCHOOL (nih_name)
